reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,_parsed_date,reason_text
2025.5486,SPS,food,Clorpirifos en semillas de comina de la India / Chlorpyrifos in Indian cumin seed ,18-07-2025 13:37:17,Spain,border rejection notification,potential risk,,,,"India,Spain",India,chlorpyrifos   - {pesticide residues},7/18/2025 13:37,Clorpirifos en semillas de comina de la India / Chlorpyrifos in Indian cumin seed  | chlorpyrifos   - {pesticide residues}
2025.5476,SPS,food,Pesticide residues in lychees from Vietnam,18-07-2025 10:40:16,Germany,alert notification,serious,Czechia,INFOSAN,Czechia,"Czechia,Vietnam",Vietnam,"Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},clothianidin   - {pesticide residues},dinotefuran  unauthorised substance - {pesticide residues},imidacloprid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},quinalphos   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",7/18/2025 10:40,"Pesticide residues in lychees from Vietnam | Azoxystrobin   - {pesticide residues},acetamiprid   - {pesticide residues},clothianidin   - {pesticide residues},dinotefuran  unauthorised substance - {pesticide residues},imidacloprid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},quinalphos   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.5438,SPS,food,Salmonella agona in sesame seeds from India,17-07-2025 11:40:29,Italy,border rejection notification,serious,,,,India,India,Salmonella  Agona - {pathogenic micro-organisms},7/17/2025 11:40,Salmonella agona in sesame seeds from India | Salmonella  Agona - {pathogenic micro-organisms}
2025.5418,SPS,food,Salmonella spp. and foreign body (shell fragments) in chopped crab from the Netherlands,16-07-2025 16:56:56,Germany,alert notification,serious,"Austria,Belgium,Denmark,Faroe Islands,Finland,France,Germany,Hungary,Italy,Netherlands","Austria,Belgium,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Vietnam","Austria,Belgium,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands","Germany,Netherlands,Vietnam",Vietnam,"Salmonellen   - {pathogenic micro-organisms},foreign body   - {foreign bodies}",7/16/2025 16:56,"Salmonella spp. and foreign body (shell fragments) in chopped crab from the Netherlands | Salmonellen   - {pathogenic micro-organisms},foreign body   - {foreign bodies}"
2025.5416,Other/Unmatched,food,"spoilage (soapy and bitter taste, smelly) of and inappropriate consumer guidance for whole coconuts from Vietnam, via Spain",16-07-2025 16:27:17,Poland,information notification for follow-up,potential risk,,,Spain,"Poland,Spain,Vietnam",Vietnam,organoleptic characteristics deterioration  - {organoleptic aspects},7/16/2025 16:27,"spoilage (soapy and bitter taste, smelly) of and inappropriate consumer guidance for whole coconuts from Vietnam, via Spain | organoleptic characteristics deterioration  - {organoleptic aspects}"
2025.5412,SPS,food,multiple pesticides found on Rambutan,16-07-2025 16:03:50,Netherlands,information notification for attention,potentially serious,"Belgium,Denmark,Finland,Germany,Greece,Hungary,Italy,Netherlands,Sweden,United Kingdom (Northern Ireland)","Belgium,Denmark,Finland,Germany,Greece,Hungary,Ireland,Italy,Sweden,United Kingdom (Northern Ireland)",,"Italy,Netherlands,Vietnam",Vietnam,"acetamiprid   - {pesticide residues},buprofezin   - {pesticide residues},chlorantraniliprole   - {pesticide residues},clothianidin   - {pesticide residues},dimethoate   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},omethoate   - {pesticide residues},thiamethoxam   - {pesticide residues}",7/16/2025 16:03,"multiple pesticides found on Rambutan | acetamiprid   - {pesticide residues},buprofezin   - {pesticide residues},chlorantraniliprole   - {pesticide residues},clothianidin   - {pesticide residues},dimethoate   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},omethoate   - {pesticide residues},thiamethoxam   - {pesticide residues}"
2025.5392,Other/Unmatched,food,Lead in psyllium husks from India,16-07-2025 11:04:13,Germany,alert notification,serious,"Austria,Germany,Poland,Slovakia",Germany,"Austria,Poland,Slovakia","Germany,India",India,lead  high content - {heavy metals},7/16/2025 11:04,Lead in psyllium husks from India | lead  high content - {heavy metals}
2025.538,Other/Unmatched,food,Colour E 110 - Sunset Yellow FCF in rice milk cake,15-07-2025 16:06:24,Sweden,information notification for follow-up,not serious,"Finland,Norway,Sweden","Finland,Norway,Vietnam",,"Sweden,Vietnam",Vietnam,,7/15/2025 16:06,Colour E 110 - Sunset Yellow FCF in rice milk cake
2025.5357,SPS,food,Triphenylmethane dyes in shrimp (Litopenaeus vannamei) from Ecuador,15-07-2025 09:59:44,Germany,information notification for attention,potentially serious,Germany,"Ecuador,Germany,INFOSAN",Germany,"Ecuador,Germany",Ecuador,"crystal violet  unauthorised substance - {residues of veterinary medicinal products},victoria pure blue BO   - {residues of veterinary medicinal products}",7/15/2025 9:59,"Triphenylmethane dyes in shrimp (Litopenaeus vannamei) from Ecuador | crystal violet  unauthorised substance - {residues of veterinary medicinal products},victoria pure blue BO   - {residues of veterinary medicinal products}"
2025.5336,SPS,food,Pesticide recidue dimethoate in tea from India,14-07-2025 12:59:19,Finland,border rejection notification,potentially serious,,,,"Finland,India",India,dimethoate   - {pesticide residues},7/14/2025 12:59,Pesticide recidue dimethoate in tea from India | dimethoate   - {pesticide residues}
2025.5331,SPS,food,Groundnuts India Aflatoxin B1,14-07-2025 12:18:39,Netherlands,border rejection notification,serious,,,,"India,Netherlands,Switzerland",India,"Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}",7/14/2025 12:18,"Groundnuts India Aflatoxin B1 | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}"
2025.5326,SPS,food,Pesticide residues (chlorpyrifos) in basmati rice from India,14-07-2025 10:49:16,Belgium,border rejection notification,serious,,India,Belgium,"Belgium,India",India,chlorpyrifos  unauthorised substance - {pesticide residues},7/14/2025 10:49,Pesticide residues (chlorpyrifos) in basmati rice from India | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.5312,TBT,food,High content of sulphite in frozen blanched headless shrimps IQF (Metapenaeus monoceros) from India,11/7/2025 16:43,Italy,information notification for attention,potential risk,,India,,"India,Italy",India,sulphite  too high content - {food additives and flavourings},7/11/2025 16:43,High content of sulphite in frozen blanched headless shrimps IQF (Metapenaeus monoceros) from India | sulphite  too high content - {food additives and flavourings}
2025.5289,SPS,food,Food supplements ex India Ethyleenoxide,11/7/2025 14:00,Netherlands,border rejection notification,serious,,India,,"India,Netherlands",India,ethylene oxide   - {pesticide residues},7/11/2025 14:00,Food supplements ex India Ethyleenoxide | ethylene oxide   - {pesticide residues}
2025.5268,SPS,food,Vibrio parahaemolyticus in frozen shrimps from Ecuador,10/7/2025 17:14,Romania,information notification for attention,potentially serious,,INFOSAN,,"Ecuador,Romania",Ecuador,Vibrio parahaemolyticus  - {pathogenic micro-organisms},7/10/2025 17:14,Vibrio parahaemolyticus in frozen shrimps from Ecuador | Vibrio parahaemolyticus  - {pathogenic micro-organisms}
2025.5267,SPS,food,Detección de Carbendazima y Thiabendazole en Eddo procedente de Ecuador//Detection of Carbendazim and Thiabendazole in Eddo from Ecuador,10/7/2025 17:01,Spain,information notification for follow-up,not serious,"Portugal,Spain,United Kingdom",,"Ecuador,Portugal,United Kingdom","Ecuador,Spain",Ecuador,"carbendazim  unauthorised substance - {pesticide residues},thiabendazole   - {pesticide residues}",7/10/2025 17:01,"Detección de Carbendazima y Thiabendazole en Eddo procedente de Ecuador//Detection of Carbendazim and Thiabendazole in Eddo from Ecuador | carbendazim  unauthorised substance - {pesticide residues},thiabendazole   - {pesticide residues}"
2025.5253,SPS,food,Histamine above legal limits in tuna from Ecuador,10/7/2025 12:56,Italy,alert notification,serious,"Italy,Switzerland","EFSA Member,Ecuador,INFOSAN,Italy,Switzerland",Switzerland,"Ecuador,Italy",Ecuador,histamine   - {biological contaminants},7/10/2025 12:56,Histamine above legal limits in tuna from Ecuador | histamine   - {biological contaminants}
2025.5246,SPS,food,Basmati Rice ex India Pesticide Residue,10/7/2025 11:28,Netherlands,border rejection notification,not serious,,,,"India,Netherlands",India,thiamethoxam   - {pesticide residues},7/10/2025 11:28,Basmati Rice ex India Pesticide Residue | thiamethoxam   - {pesticide residues}
2025.5236,SPS,food,Salmonella spp. in sesame seeds from India,10/7/2025 10:07,Greece,border rejection notification,serious,Greece,,,"Greece,India",India,Salmonella   - {pathogenic micro-organisms},7/10/2025 10:07,Salmonella spp. in sesame seeds from India | Salmonella   - {pathogenic micro-organisms}
2025.5216,Other/Unmatched,food,Rotura de cadena de frío en lomos de atún de Ecuador /  Breaking the cold chain in tuna loins from Ecuador,9/7/2025 15:01,Spain,border rejection notification,potential risk,,,,"Ecuador,Spain",Ecuador,,7/9/2025 15:01,Rotura de cadena de frío en lomos de atún de Ecuador /  Breaking the cold chain in tuna loins from Ecuador
2025.5199,Other/Unmatched,food,Mercury in food supplements from India,9/7/2025 9:46,Netherlands,information notification for attention,serious,Netherlands,"INFOSAN,India",,"India,Netherlands",India,mercury   - {heavy metals},7/9/2025 9:46,Mercury in food supplements from India | mercury   - {heavy metals}
2025.5187,Other/Unmatched,food,Border Rejection of Red Chilli Peppers from UK of Indian Origin With No CHED-D Document,8/7/2025 17:03,Ireland,border rejection notification,potential risk,Ireland,"INFOSAN,India,United Kingdom",,"Ireland,United Kingdom",India,,7/8/2025 17:03,Border Rejection of Red Chilli Peppers from UK of Indian Origin With No CHED-D Document
2025.5171,Other/Unmatched,food,Rotura de la cadena de frío en langostinos congelados de Ecuador / Poor temperature control en langostinos congelados de Ecuador ,8/7/2025 12:42,Spain,border rejection notification,serious,,,,"Ecuador,Spain",Ecuador,,7/8/2025 12:42,Rotura de la cadena de frío en langostinos congelados de Ecuador / Poor temperature control en langostinos congelados de Ecuador 
2025.5113,Other/Unmatched,food,"Non declared allergen soy, shellfish and fish in soup seasoning, from Vietnam",7/7/2025 9:38,Switzerland,alert notification,serious,"Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Greenland,Hungary,Iceland,Ireland,Italy,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United Kingdom (Northern Ireland)","Austria,Belgium,Bulgaria,Cyprus,Czechia,Denmark,Finland,France,Germany,Greece,Hungary,INFOSAN,Iceland,Ireland,Italy,Lithuania,Luxembourg,Malta,Netherlands,Poland,Slovakia,Sweden,Switzerland,United Kingdom (Northern Ireland),Vietnam","Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United Kingdom (Northern Ireland),Vietnam","Netherlands,Poland,Sweden,Vietnam",Vietnam,,7/7/2025 9:38,"Non declared allergen soy, shellfish and fish in soup seasoning, from Vietnam"
2025.511,Other/Unmatched,food,Mercury 29 ppm in supplements from India,7/7/2025 9:07,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"India,Netherlands",India,mercury   - {heavy metals},7/7/2025 9:07,Mercury 29 ppm in supplements from India | mercury   - {heavy metals}
2025.5106,SPS,food,"Unauthorised substance ethylene oxide (sum of 2-chlorethanol and ethylene oxide, expressed as ethylene oxide) in spice mixture from India",6/7/2025 10:17,Romania,border rejection notification,serious,,India,,India,India,ethylene oxide   - {pesticide residues},7/6/2025 10:17,"Unauthorised substance ethylene oxide (sum of 2-chlorethanol and ethylene oxide, expressed as ethylene oxide) in spice mixture from India | ethylene oxide   - {pesticide residues}"
2025.5052,SPS,food,Imazalil in bananas from Ecuador,3/7/2025 16:02,Italy,information notification for attention,potential risk,,,,"Ecuador,Italy",Ecuador,imazalil   - {pesticide residues},7/3/2025 16:02,Imazalil in bananas from Ecuador | imazalil   - {pesticide residues}
2025.5004,SPS,food,Detection of Vibrio in prawns,2/7/2025 16:24,France,information notification for attention,potentially serious,France,INFOSAN,,"France,India",India,"Vibrio parahaemolyticus  - {pathogenic micro-organisms},Vibrio vulnificus  - {pathogenic micro-organisms}",7/2/2025 16:24,"Detection of Vibrio in prawns | Vibrio parahaemolyticus  - {pathogenic micro-organisms},Vibrio vulnificus  - {pathogenic micro-organisms}"
2025.4951,TBT,food,Import of cinnamon from India without accompanying documentation,1/7/2025 13:40,Slovenia,border rejection notification,potential risk,,,,"Bulgaria,India,Slovenia",India,,7/1/2025 13:40,Import of cinnamon from India without accompanying documentation
2025.4929,SPS,food,"Unauthorised substance ethylene oxide (sum of 2-chloroethanol and ethylene oxide, expressed as ethylene oxide) in food supplements from India",1/7/2025 10:33,Germany,border rejection notification,serious,,India,,"Czechia,India",India,ethylene oxide   - {pesticide residues},7/1/2025 10:33,"Unauthorised substance ethylene oxide (sum of 2-chloroethanol and ethylene oxide, expressed as ethylene oxide) in food supplements from India | ethylene oxide   - {pesticide residues}"
2025.4798,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for coriander powder from India ,26-06-2025 14:42:04,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 14:42,The batch number on the packaging of the product is different from the batch number in the Official Certificate for coriander powder from India 
2025.4797,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for chilli powder Kashmiri from India,26-06-2025 14:41:15,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 14:41,The batch number on the packaging of the product is different from the batch number in the Official Certificate for chilli powder Kashmiri from India
2025.4791,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin powder  from India,26-06-2025 13:49:06,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 13:49,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin powder  from India
2025.479,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin powder from India,26-06-2025 13:48:35,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 13:48,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin powder from India
2025.4776,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for turmeric (curcuma) from India,26-06-2025 11:30:45,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 11:30,The batch number on the packaging of the product is different from the batch number in the Official Certificate for turmeric (curcuma) from India
2025.4773,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin (Jeera whole) from India,26-06-2025 10:40:55,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 10:40,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin (Jeera whole) from India
2025.4772,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin  (Jeera whole) from India,26-06-2025 10:40:06,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 10:40,The batch number on the packaging of the product is different from the batch number in the Official Certificate for cumin  (Jeera whole) from India
2025.4771,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for chilly powder hot from India.,26-06-2025 10:38:45,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 10:38,The batch number on the packaging of the product is different from the batch number in the Official Certificate for chilly powder hot from India.
2025.4766,TBT,food,The batch number on the packaging of the product is different from the batch number in the Official Certificate for turmeric (curcuma) ground from India ,26-06-2025 08:54:46,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/26/2025 8:54,The batch number on the packaging of the product is different from the batch number in the Official Certificate for turmeric (curcuma) ground from India 
2025.476,TBT,food,Improper Official certificate for fenugreek seeds from India,25-06-2025 15:55:36,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/25/2025 15:55,Improper Official certificate for fenugreek seeds from India
2025.4755,TBT,food,Improper Official certificate for chilli powder from India,25-06-2025 14:41:35,Latvia,border rejection notification,not serious,,India,,"India,Latvia",India,,6/25/2025 14:41,Improper Official certificate for chilli powder from India
2025.4705,SPS,food,Salmonella spp. in sesame seeds from India,24-06-2025 13:24:55,Greece,border rejection notification,serious,,,,"Greece,India",India,Salmonella spp   - {pathogenic micro-organisms},6/24/2025 13:24,Salmonella spp. in sesame seeds from India | Salmonella spp   - {pathogenic micro-organisms}
2025.4672,SPS,food,"Prohibited substance nitrofuran (metabolite) furazolidone (AOZ) in frozen frog legs from Vietnam, via Belgium",23-06-2025 17:13:38,Germany,alert notification,serious,"Belgium,Czechia,France,Germany,Hungary,Luxembourg,Spain","Belgium,Germany,INFOSAN,Vietnam","Belgium,Czechia,France,Germany,Hungary,Luxembourg,Spain,Vietnam","Belgium,Germany,Luxembourg,Vietnam",Vietnam,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},6/23/2025 17:13,"Prohibited substance nitrofuran (metabolite) furazolidone (AOZ) in frozen frog legs from Vietnam, via Belgium | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products}"
2025.4636,SPS,food,Multiple pesticide residues in cardamom from India,20-06-2025 17:29:53,France,border rejection notification,potentially serious,,India,,"France,India",India,"imidacloprid   - {pesticide residues},propamocarb   - {pesticide residues},thiamethoxam   - {pesticide residues}",6/20/2025 17:29,"Multiple pesticide residues in cardamom from India | imidacloprid   - {pesticide residues},propamocarb   - {pesticide residues},thiamethoxam   - {pesticide residues}"
2025.4632,SPS,food,chlorpyrifos  in basmati rice ,20-06-2025 16:57:42,Italy,border rejection notification,potentially serious,,India,,"India,Italy",India,chlorpyrifos  unauthorised substance - {pesticide residues},6/20/2025 16:57,chlorpyrifos  in basmati rice  | chlorpyrifos  unauthorised substance - {pesticide residues}
2025.4631,SPS,food,MCPD-estere og glycidyl-estere in bisquirs from India,20-06-2025 16:45:28,Denmark,information notification for attention,potentially serious,Denmark,INFOSAN,,"Denmark,India",India,"3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants}",6/20/2025 16:45,"MCPD-estere og glycidyl-estere in bisquirs from India | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants}"
2025.4621,TBT,food,"Absence of health certificate and of certified analytical report for roasted groundnut kernels from India, dispatched from Kosovo",20-06-2025 14:33:39,Croatia,border rejection notification,potential risk,Albania,"Albania,India",,"Croatia,India,Kosovo,Slovenia",India,,6/20/2025 14:33,"Absence of health certificate and of certified analytical report for roasted groundnut kernels from India, dispatched from Kosovo"
2025.4618,SPS,food,Aflatoxin B1 in BASMATI BB rice from India,20-06-2025 14:03:52,Netherlands,information notification for attention,potentially serious,,INFOSAN,,Netherlands,India,Aflatoxin B1   - {mycotoxins},6/20/2025 14:03,Aflatoxin B1 in BASMATI BB rice from India | Aflatoxin B1   - {mycotoxins}
2025.4582,Other/Unmatched,food,Cadmium in frozen squid from India,19-06-2025 09:50:54,Malta,information notification for attention,serious,Malta,INFOSAN,,"India,Malta",India,cadmium   - {heavy metals},6/19/2025 9:50,Cadmium in frozen squid from India | cadmium   - {heavy metals}
2025.453,SPS,food,Pesticides residues in rice from India,17-06-2025 11:01:03,Belgium,border rejection notification,serious,,India,,"Belgium,India",India,"chlorpyrifos  unauthorised substance - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",6/17/2025 11:01,"Pesticides residues in rice from India | chlorpyrifos  unauthorised substance - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.4477,SPS,feed,Aflatoxins in peanuts from India,13-06-2025 15:19:23,Germany,border rejection notification,serious,,,,"Germany,India",India,"Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}",6/13/2025 15:19,"Aflatoxins in peanuts from India | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}"
2025.4472,TBT,food,"Rhodamine B in turmeric from India, via Germany",13-06-2025 14:21:31,Germany,information notification for follow-up,potentially serious,"Austria,Germany,Hungary",India,"Austria,Hungary","Germany,India",India,Rhodamine B  unauthorised colour - {composition},6/13/2025 14:21,"Rhodamine B in turmeric from India, via Germany | Rhodamine B  unauthorised colour - {composition}"
2025.4457,SPS,food,Pesticide residues in Indian rice,13-06-2025 11:35:35,Netherlands,border rejection notification,not serious,,India,,"India,Netherlands",India,"thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",6/13/2025 11:35,"Pesticide residues in Indian rice | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.439,SPS,food,Tricyclazole in drumsticks from India,11/6/2025 16:00,France,border rejection notification,not serious,,,,"France,India",India,tricyclazole  unauthorised substance - {pesticide residues},6/11/2025 16:00,Tricyclazole in drumsticks from India | tricyclazole  unauthorised substance - {pesticide residues}
2025.4388,SPS,food,Vibrio parahaemolyticus in gamberi dall'India/Vibrio parahaemolyticus in shrimp from India,11/6/2025 15:45,Italy,information notification for attention,potentially serious,,India,,"India,Italy",India,Vibrio parahaemolyticus  - {pathogenic micro-organisms},6/11/2025 15:45,Vibrio parahaemolyticus in gamberi dall'India/Vibrio parahaemolyticus in shrimp from India | Vibrio parahaemolyticus  - {pathogenic micro-organisms}
2025.4375,SPS,food,Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador,11/6/2025 13:31,Spain,information notification for attention,serious,,"Ecuador,INFOSAN",,"Ecuador,Spain",Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},6/11/2025 13:31,Vibrio cholerae en langostinos de Ecuador // Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms}
2025.4372,SPS,food,Ocratoxina A en arroz de la India. Ochratoxin in rice from India ,11/6/2025 13:11,Spain,border rejection notification,potentially serious,,India,,"India,Spain",India,ochratoxin A   - {mycotoxins},6/11/2025 13:11,Ocratoxina A en arroz de la India. Ochratoxin in rice from India  | ochratoxin A   - {mycotoxins}
2025.4358,SPS,food,Aflatoxine in Indian groundnuts,11/6/2025 8:43,Netherlands,border rejection notification,serious,,,,"India,Netherlands,Switzerland",India,"Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}",6/11/2025 8:43,"Aflatoxine in Indian groundnuts | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}"
2025.4356,SPS,food,Aflatoxine in Indian groundnuts,11/6/2025 8:42,Netherlands,border rejection notification,serious,,,,"India,Netherlands,Switzerland",India,"Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}",6/11/2025 8:42,"Aflatoxine in Indian groundnuts | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins}"
2025.4336,SPS,food,Dimethoate in bottle gourd from India,10/6/2025 14:06,Germany,border rejection notification,serious,,,,"Germany,India",India,dimethoate   - {pesticide residues},6/10/2025 14:06,Dimethoate in bottle gourd from India | dimethoate   - {pesticide residues}
2025.4312,TBT,food,Import of teas from India without accompanying documentation,9/6/2025 13:34,Croatia,border rejection notification,potential risk,Croatia,,,"Croatia,India",India,,6/9/2025 13:34,Import of teas from India without accompanying documentation
2025.4311,Other/Unmatched,food,"OŁÓW (4,337 +/-0,867 MG/KG) W CZOSNKU SUSZONYM Z INDII///Lead (4.337 +/-0.867 mg/kg) in dried garlic from India",9/6/2025 12:54,Poland,border rejection notification,serious,,,,"India,Poland",India,lead   - {heavy metals},6/9/2025 12:54,"OŁÓW (4,337 +/-0,867 MG/KG) W CZOSNKU SUSZONYM Z INDII///Lead (4.337 +/-0.867 mg/kg) in dried garlic from India | lead   - {heavy metals}"
2025.4306,SPS,food,Ethylene oxide (81.1 ± 40.6 ppm)  in Coriander powder from India,9/6/2025 9:48,Italy,border rejection notification,potentially serious,,India,,"India,Italy",India,ethylene oxide   - {pesticide residues},6/9/2025 9:48,Ethylene oxide (81.1 ± 40.6 ppm)  in Coriander powder from India | ethylene oxide   - {pesticide residues}
2025.4274,SPS,food,Ethylene oxide in cumin seeds from India,6/6/2025 11:54,France,border rejection notification,potentially serious,,India,,"France,India",India,ethylene oxide   - {pesticide residues},6/6/2025 11:54,Ethylene oxide in cumin seeds from India | ethylene oxide   - {pesticide residues}
2025.4262,SPS,food,Pesticide residues in Indian Okra's,6/6/2025 9:03,Netherlands,border rejection notification,not serious,,,,"India,Netherlands",India,"acephate  unauthorised substance - {pesticide residues},monocrotophos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues}",6/6/2025 9:03,"Pesticide residues in Indian Okra's | acephate  unauthorised substance - {pesticide residues},monocrotophos  unauthorised substance - {pesticide residues},thiamethoxam   - {pesticide residues}"
2025.4248,Other/Unmatched,food,Cadmium in IQF frozen cleaned Indo-Pacific squid (Uroteuthis duvauceli)/Cadmio in calamari indopacifici puliti congelati IQF (Uroteuthis duvauceli),5/6/2025 16:42,Italy,information notification for attention,serious,"Albania,Italy","Albania,INFOSAN",,"India,Italy",India,cadmium   - {heavy metals},6/5/2025 16:42,Cadmium in IQF frozen cleaned Indo-Pacific squid (Uroteuthis duvauceli)/Cadmio in calamari indopacifici puliti congelati IQF (Uroteuthis duvauceli) | cadmium   - {heavy metals}
2025.4245,SPS,food,"aflatoxin B1 and ochratoxin A in organic rice from India, via the Netherlands",5/6/2025 15:38,Belgium,alert notification,serious,Belgium,"INFOSAN,India,Netherlands",Netherlands,"Belgium,Netherlands",India,"Aflatoxin B1   - {mycotoxins},ochratoxin A   - {mycotoxins}",6/5/2025 15:38,"aflatoxin B1 and ochratoxin A in organic rice from India, via the Netherlands | Aflatoxin B1   - {mycotoxins},ochratoxin A   - {mycotoxins}"
2025.4226,SPS,food,Chlorpyrifos in Mutton Masala,5/6/2025 9:25,Denmark,information notification for follow-up,potential risk,"Denmark,Hong Kong,Netherlands","Denmark,Hong Kong",Netherlands,"Denmark,Hong Kong,India,Netherlands",India,chlorpyrifos   - {pesticide residues},6/5/2025 9:25,Chlorpyrifos in Mutton Masala | chlorpyrifos   - {pesticide residues}
2025.4225,SPS,food,Presence of salmonella in sesame seeds from India,5/6/2025 9:09,Italy,border rejection notification,serious,,,,India,India,Salmonella   - {pathogenic micro-organisms},6/5/2025 9:09,Presence of salmonella in sesame seeds from India | Salmonella   - {pathogenic micro-organisms}
2025.4197,SPS,food,Pesticide residues in rice from India,4/6/2025 14:24,Germany,border rejection notification,potentially serious,Germany,,,"Germany,Türkiye",India,"thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}",6/4/2025 14:24,"Pesticide residues in rice from India | thiamethoxam   - {pesticide residues},tricyclazole  unauthorised substance - {pesticide residues}"
2025.4168,SPS,food,Exceeded PESTICIDES CHLORPYRIFOS IN RICE BASMATI PARBOILED ORIGIN INDIA,3/6/2025 19:13,Romania,border rejection notification,potential risk,Romania,INFOSAN,,"India,Romania",India,chlorpyrifos   - {pesticide residues},6/3/2025 19:13,Exceeded PESTICIDES CHLORPYRIFOS IN RICE BASMATI PARBOILED ORIGIN INDIA | chlorpyrifos   - {pesticide residues}
2025.4167,SPS,food,Monocrotophos in drumstick (moringa oleifera) leaves from India,3/6/2025 18:18,France,border rejection notification,potentially serious,,,,"France,India",India,monocrotophos  unauthorised substance - {pesticide residues},6/3/2025 18:18,Monocrotophos in drumstick (moringa oleifera) leaves from India | monocrotophos  unauthorised substance - {pesticide residues}
2025.4165,SPS,food,Chlorpyrifos in cumin seeds from India,3/6/2025 17:34,France,border rejection notification,potentially serious,,,,"France,India",India,chlorpyrifos   - {pesticide residues},6/3/2025 17:34,Chlorpyrifos in cumin seeds from India | chlorpyrifos   - {pesticide residues}
