Importing Market,Exporting country,Refusal date - formating as MM-YYYY,Barrier Classification,Specific Reason of Rejection,Unique Order ID
United States,India,Mar-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0239113-5|1
United States,India,Mar-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0240816-0|1
United States,India,Mar-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",EVJ-0233087-9|1
United States,India,Mar-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",EVJ-0233087-9|2
United States,India,Mar-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",EVJ-0233087-9|4
United States,India,Mar-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0403179-6|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",594-0329325-7|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",594-0329372-9|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498825-2|3
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498825-2|4
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498825-2|5
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498825-2|6
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498826-0|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1550096-4|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-1550096-4|1
United States,India,Mar-21,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1553690-1|1
United States,India,Mar-21,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1553690-1|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0013472-8|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0013472-8|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-0015369-4|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0015369-4|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",AMQ-0645059-0|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",AMQ-0645059-0|2
United States,India,Mar-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",AMQ-0645059-0|3
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",WFN-8867662-8|1
United States,India,Mar-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",WFN-8867662-8|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",082-0439096-0|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",594-0359826-7|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",594-0359826-7|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",788-1819864-6|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0267004-1|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0267092-6|1
United States,India,Mar-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0267092-6|1
United States,India,Mar-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,BUU-1537887-6|1
United States,India,Mar-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3615020-3|1
United States,India,Mar-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-3615020-3|1
United States,India,Mar-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0460697-7|1
United States,India,Mar-25,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0460697-7|1
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3647769-7|1
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-3647769-7|1
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3647769-7|2
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-3647769-7|2
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3647769-7|3
United States,India,Mar-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-3647769-7|3
United States,India,Apr-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AMQ-0625190-7|1
United States,India,Apr-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AMQ-0625190-7|1
United States,India,Apr-19,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",ROD-0056339-9|1
United States,India,Apr-20,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,082-0404498-9|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",082-0404498-9|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",8P5-1023256-1|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-1023256-1|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0249608-2|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3535632-2|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-3535632-2|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3535633-0|1
United States,India,Apr-20,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,ROD-0062715-2|1
United States,India,Apr-20,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",ROD-0062715-2|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8TH-0006367-5|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0255252-0|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0255252-0|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",AQZ-0488085-5|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0488085-5|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0498832-8|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",AQZ-0499648-7|7
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",B4S-0008137-0|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",B4S-0008137-0|1
United States,India,Apr-21,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1553450-0|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1553450-0|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|3
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|3
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|4
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|4
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|5
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|5
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|6
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|6
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|7
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|7
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3545132-1|8
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3545132-1|8
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3547690-6|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3547690-6|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|1
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|2
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|3
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|3
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|4
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|4
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|5
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|5
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|6
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|6
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3548048-6|7
United States,India,Apr-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3548048-6|7
United States,India,Apr-22,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AMQ-0647130-7|1
United States,India,Apr-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-1570336-0|1
United States,India,Apr-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0266732-8|2
United States,India,Apr-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",991-0266732-8|2
United States,India,Apr-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0266944-9|1
United States,India,Apr-23,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",991-0266944-9|2
United States,India,Apr-23,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1586916-1|1
United States,India,Apr-23,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1586916-1|1
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,8P5-0047371-2|1
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",8P5-0047371-2|1
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,9EX-2401004-6|1
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",9EX-2401004-6|1
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,9EX-2401004-6|2
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",9EX-2401004-6|2
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,9EX-2401004-6|3
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",9EX-2401004-6|3
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,9EX-2401004-6|4
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",9EX-2401004-6|4
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AQZ-0552584-8|1
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AQZ-0552584-8|2
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,AQZ-0552584-8|3
United States,India,Apr-24,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-1608519-7|4
United States,India,Apr-24,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1608519-7|4
United States,India,Apr-24,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1608519-7|4
United States,India,Apr-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",8P5-0070992-5|1
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1622773-2|1
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1622773-2|2
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1622773-2|3
United States,India,Apr-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-1624417-4|2
United States,India,Apr-25,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",KM6-1624417-4|2
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1626165-7|1
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1626165-7|2
United States,India,Apr-25,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1626165-7|3
United States,India,May-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",KM6-3546725-1|1
United States,India,May-21,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",KM6-3546725-1|1
United States,India,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it appears to contain Salmonella, a poisonous and deleterious substance which may render it injurious to health.",D97-1712966-9|1
United States,India,May-22,SPS,"The article is subject to refusal of admission pursuant to Section 801(a)(3) in that the article appears to consist in whole or in part of a filthy, putrid, or decomposed substance or be otherwise unfit for food.",D97-1712966-9|1
United States,India,May-22,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1570514-2|1
United States,India,May-22,SPS,"The article is subject to refusal of admission, pursuant to Section 801(a)(3) in that it appears to bear or contain a food additive, namely, nitrofurans, that is unsafe within the meaning of section 409.",KM6-1570514-2|1
United States,India,May-22,SPS,The article is subject to refusal of admission pursuant to Section 801(a)(3) in that it is a food that appears to bear or contain a new animal drug (or conversion product thereof) that is unsafe within the meaning of Section 512.,KM6-1570514-2|2
